2031;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
QT;46;76;Cheap-RES;2.37;2.4;0.181;0.000;0.000;2.497;5.3;4.7;1.2;10.1;35.2;46.4;7.1;85.0;104.9;-4.2;20.5;0.0;0.0;0.0;-5.2;18.1;-0.8;0.2;-2.2;171.0;403.1;-10.296;1.301;8.886;0;10.2;3019.819;508.497373;2511.322;8.455147298;330.0198684;1.705476341;2511.321585;2490.450108;20.87147696;4952;3354;;;;
REF;47;1;expensive-RES;2.55;2.3;0.000;0.000;0.000;2.627;3.7;6.0;1.3;10.4;23.7;56.1;7.1;85.1;100.5;1161.049;437.860;93.059;19.776;43.164;2061.047;485.417;147.750;5.470;312.415;;404.1;3567.322;513.640;15184.842;19266;3012.1;3012.099;502.4850046;2509.614;2.442778935;318.7545466;;2509.613781;2490.450108;19.16367346;5103;3529;;;;
CT;48;22;expensive-RES;2.29;2.3;0.000;0.000;0.000;2.406;5.4;5.6;1.1;9.4;36.1;68.9;7.1;83.9;100.5;5.8;30.8;0.0;0.0;0.0;24.7;28.4;-5.5;-0.5;15.7;171.2;403.6;-12.491;0.042;12.365;0;62.8;3072.440;559.8043419;2512.636;59.7621162;361.1803648;3.019652638;2512.635761;2490.450108;22.18565325;4905;2673;;;;
HT_3500;49;126;expensive-RES;2.33;2.3;0.706;0.000;0.000;2.450;3.1;7.5;1.1;9.7;23.6;70.7;7.1;83.9;100.5;8.6;29.5;-0.1;0.0;0.0;35.4;29.2;-6.5;-0.6;10.5;171.0;403.3;-14.386;0.316;13.978;0;68.0;3077.621;556.7999845;2520.821;56.75775884;348.5450043;11.20465729;2520.820766;2490.450108;30.37065791;4285;3500;;;;
HT_3800;50;276;expensive-RES;2.35;2.3;0.534;0.000;0.000;2.476;2.5;7.8;1.2;9.9;18.9;67.9;7.1;84.1;100.5;6.1;32.9;-0.2;0.0;0.0;23.3;30.5;-5.9;-0.5;3.9;170.9;403.1;-17.151;0.852;16.210;0;51.3;3060.935;547.1915849;2513.743;47.14935923;340.0246835;4.126927045;2513.743036;2490.450108;23.29292766;4330;3800;;;;
HT_4000;51;376;expensive-RES;2.37;2.3;0.306;0.000;0.000;2.493;2.6;7.5;1.2;10.0;20.3;64.1;7.1;84.2;100.5;3.6;29.7;-0.1;0.0;0.0;16.5;26.2;-4.7;-0.3;1.5;170.9;403.1;-16.968;0.770;16.099;0;39.2;3048.866;537.8373713;2511.029;37.79514561;335.0029742;1.41254536;2511.028654;2490.450108;20.57854598;4246;3882;;;;
QT;52;76;expensive-RES;2.38;2.3;0.083;0.000;0.000;2.503;5.0;5.0;1.2;10.1;33.4;48.1;7.1;84.7;100.4;-7.3;19.2;0.1;0.0;0.0;-9.0;16.9;0.6;0.4;-1.0;170.8;402.9;-10.216;1.388;8.743;0;7.9;3017.579;510.4141671;2507.164;10.37194142;330.0247656;-2.451733535;2507.164375;2490.450108;16.71426708;4977;3400;;;;
REF;53;1;cheap-import;2.45;2.3;0.000;0.000;0.000;2.523;2.2;6.5;0.6;12.3;13.7;58.3;3.6;86.1;104.1;1152.297;413.141;94.364;19.776;43.164;2040.020;458.682;154.389;6.131;308.842;;403.0;3655.674;438.414;15171.615;19266;2968.1;2968.065;458.4426778;2509.622;-41.59954789;285.2359334;;2509.622093;2490.450108;19.17198507;5183;3674;;;;
CT;54;22;cheap-import;2.15;2.3;0.000;0.000;0.000;2.272;4.4;5.9;0.5;10.6;29.0;76.0;3.6;84.9;104.0;8.1;29.9;-0.3;0.0;0.0;34.9;27.6;-7.0;-0.6;20.6;170.8;402.7;-14.502;-0.065;14.529;0;75.5;3085.114;533.9149446;2551.199;33.87271887;341.1690428;41.58298362;2551.199092;2490.450108;60.74898423;5032;2571;;;;
HT_3500;55;126;cheap-import;2.17;2.3;0.795;0.000;0.000;2.290;2.2;8.0;0.5;10.8;18.8;75.5;3.6;84.7;104.0;8.9;43.2;0.1;0.0;0.0;48.7;44.6;-8.8;-0.7;16.7;170.4;401.9;-23.810;0.304;23.467;0;100.5;3110.155;543.4534364;2566.702;43.41121065;336.392171;57.08555758;2566.701666;2490.450108;76.2515582;3840;3500;;;;
