Hour;EOM_price;EOM_price_CT;EOM_price_QT;EOM_price_FP;EOM_price_CfD;H2_price;H2_price_CfD;H2_price_CT;H2_price_QT;H2_price_FP
101;137.3088925;136.8270674;136.5958621;136.7669805;136.7583856;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
102;137.3088903;136.8270634;136.5958612;136.7669751;136.7583689;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
103;137.3088902;136.8270611;136.5958607;136.7669667;136.7583544;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
104;137.3088899;136.8270604;136.5958572;136.7669582;136.7583346;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
105;137.3088896;136.8270588;136.5958533;136.7669406;136.7583343;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
106;137.3088894;136.8270584;136.5958498;136.7669354;136.7583169;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
107;137.3088871;136.8270578;136.5958487;136.7669261;136.7583076;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
108;137.3088855;136.8270573;136.5958464;136.7669119;136.7561318;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
109;137.3088849;136.8270545;136.5958452;136.7666714;136.5766197;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
110;137.3088847;136.8270542;136.5958415;133.8156455;133.743874;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
111;137.3088831;136.827054;125.7905344;126.0373917;126.028235;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
112;137.3088823;136.8270527;125.7905158;126.0372454;126.0282349;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
113;137.308882;136.8270526;125.7904954;126.0371834;126.0282347;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
114;137.3088816;136.8270524;125.7904825;126.0370053;126.0282343;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
115;137.3088809;136.8270506;125.7904705;126.0369856;126.0282318;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
116;137.3088791;136.82705;125.7904584;126.0369702;126.0282285;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
117;137.3088783;136.8270494;125.7904555;126.0369503;126.0282042;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
118;137.3088746;136.8270482;125.7904502;126.0369282;126.0282024;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
119;137.3088738;136.8270477;125.7904483;126.0368863;126.0282019;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
120;137.3088738;136.8270465;125.7904339;126.0368152;126.0282015;88.13932383;87.91483188;87.87449232;87.78259666;87.90426325
121;137.3088736;136.8270463;125.7904285;126.0368116;126.0282008;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
122;137.3088729;136.8270461;125.7904278;126.0368092;126.0282005;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
123;137.3088718;136.8270456;125.7904039;126.0367998;126.0282003;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
124;137.3088708;136.8270446;125.7904022;126.0367799;126.0281985;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
125;137.3088706;136.8270442;125.7903921;126.0367686;126.0281952;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
126;137.3088678;136.8270435;125.7903888;126.0367598;126.0281941;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
127;137.3088655;136.8270429;125.7903628;126.0367565;126.0281922;88.13930131;87.23727953;87.87428736;87.42635292;87.3160836
